                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8575,                 2.8451,                  1.569,                0.00533,                 0.9697,                0.69955,                0.39372,                 1.4902,                 3.0867,                 1.4116,                  8e-05,                  8e-05,                  8e-05
                      2,                 1.8037,                 2.3891,                 1.4688,                0.00533,                 0.9697,                0.80377,                0.41696,                   1.47,                 2.9751,                 1.3701,             0.00017644,             0.00017644,             0.00017644
                      3,                 1.7558,                 1.6658,                 1.3738,                      1,                0.61588,                  0.899,                0.50109,                 1.3691,                 2.5575,                 1.2633,             0.00026891,             0.00026891,             0.00026891
                      4,                 1.6905,                 1.5997,                   1.42,                0.91147,                0.62434,                0.82869,                0.41969,                 1.6146,                 2.4584,                 1.3838,             0.00035743,             0.00035743,             0.00035743
                      5,                 1.6799,                 1.6871,                   1.39,                0.90246,                0.63636,                0.83271,                0.45001,                 1.5144,                 2.3975,                 1.3821,             0.00044198,             0.00044198,             0.00044198
                      6,                 1.5889,                 1.5199,                 1.3713,                      1,                0.43368,                 0.7617,                0.41708,                 1.5222,                 2.5599,                 1.3543,             0.00052258,             0.00052258,             0.00052258
                      7,                 1.5646,                 1.5616,                 1.3708,                      1,                0.21023,                0.59723,                0.31055,                 1.7201,                 3.0213,                 1.5567,             0.00059922,             0.00059922,             0.00059922
                      8,                 1.6057,                 1.5025,                 1.3314,                      1,                0.26996,                0.62555,                0.28476,                 1.8993,                 2.9358,                 1.6721,             0.00067189,             0.00067189,             0.00067189
                      9,                 1.6637,                 1.4847,                 1.3499,                0.85291,                0.35197,                0.46003,                 0.2253,                 2.1145,                 2.9628,                 1.9286,             0.00074061,             0.00074061,             0.00074061
                     10,                  1.634,                 1.5415,                  1.468,                0.59768,                0.36029,                0.37126,                0.12089,                 2.4248,                 3.0856,                 2.0794,             0.00080536,             0.00080536,             0.00080536
                     11,                 1.6709,                 1.4636,                 1.3914,                0.91285,                0.45455,                0.54631,                0.22257,                 2.1685,                 2.5351,                 1.9035,             0.00086616,             0.00086616,             0.00086616
                     12,                 1.7013,                 1.4187,                 1.3582,                0.98327,                0.54545,                0.65274,                0.38248,                 1.7299,                 2.1652,                 1.7011,               0.000923,               0.000923,               0.000923
