                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                  1.174,                 1.1281,                 1.2116,                0.84517,                0.66667,                0.83609,                0.44163,                 1.7168,                 1.8587,                 1.5027,             0.00046444,             0.00046444,             0.00046444
                     35,                 1.0556,                 1.0649,                 1.0764,                0.92664,                0.60606,                 0.8161,                0.42361,                 1.6887,                 1.8751,                 1.4536,             0.00045098,             0.00045098,             0.00045098
                     36,                0.94498,                 1.0174,                 1.0397,                0.80667,                0.63636,                0.79989,                0.40199,                 1.7283,                 1.8959,                 1.4684,             0.00043594,             0.00043594,             0.00043594
                     37,                0.96023,                 1.0183,                 1.0494,                0.80667,                0.63636,                0.79989,                0.40199,                 1.7283,                 1.8959,                 1.4684,             0.00041931,             0.00041931,             0.00041931
                     38,                0.98265,                 1.0532,                 1.1142,                0.78572,                0.69697,                0.79783,                 0.3741,                 1.7979,                 1.9519,                 1.5275,              0.0004011,              0.0004011,              0.0004011
                     39,                0.97646,                 1.1563,                 1.0778,                0.81269,                0.72727,                0.80504,                0.36451,                  1.834,                 1.9519,                 1.5632,              0.0003813,              0.0003813,              0.0003813
                     40,                 1.0488,                 1.0581,                 1.1319,                0.81269,                0.72727,                0.80504,                0.36451,                  1.834,                 1.9519,                 1.5632,             0.00035992,             0.00035992,             0.00035992
                     41,                 1.0464,                 1.5418,                 1.1119,                 0.7584,                0.72727,                0.79517,                0.36546,                 1.8384,                 1.9568,                 1.5681,             0.00033696,             0.00033696,             0.00033696
                     42,                0.90765,                 1.3917,                 1.0178,                0.83203,                0.69697,                0.81083,                0.37985,                 1.7662,                 1.8947,                 1.5288,             0.00031241,             0.00031241,             0.00031241
                     43,                0.91059,                 1.3495,                 1.1032,                0.83203,                0.69697,                0.81083,                0.37985,                 1.7662,                 1.8947,                 1.5288,             0.00028628,             0.00028628,             0.00028628
                     44,                0.97627,                 1.3254,                 1.1189,                0.85842,                0.69697,                0.86122,                0.43346,                 1.7056,                 1.8056,                 1.4783,             0.00025856,             0.00025856,             0.00025856
                     45,                0.83549,                 1.2288,                0.96578,                0.85842,                0.69697,                0.86122,                0.43346,                 1.7056,                 1.8056,                 1.4783,             0.00022926,             0.00022926,             0.00022926
                     46,                0.85512,                 1.2711,                 1.0676,                0.85429,                0.72727,                 0.8751,                0.46281,                 1.6162,                 1.7681,                 1.4332,             0.00019838,             0.00019838,             0.00019838
                     47,                0.91268,                 1.1919,                 1.0837,                0.85429,                0.72727,                 0.8751,                0.46281,                 1.6162,                 1.7681,                 1.4332,             0.00016591,             0.00016591,             0.00016591
                     48,                0.81756,                 1.1393,                 1.0019,                0.89441,                0.72727,                 0.8875,                0.48748,                 1.5927,                 1.7452,                 1.4199,             0.00013186,             0.00013186,             0.00013186
                     49,                0.83637,                 1.2436,                0.99772,                0.89441,                0.72727,                 0.8875,                0.48748,                 1.5927,                 1.7452,                 1.4199,             9.6224e-05,             9.6224e-05,             9.6224e-05
                     50,                0.86934,                 1.1493,                 1.0145,                0.78286,                0.81818,                0.89438,                0.49624,                 1.5633,                 1.7244,                 1.3998,             5.9004e-05,             5.9004e-05,             5.9004e-05
