                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3465,                 2.9613,                  1.409,                0.00533,                 0.9697,                0.28967,                0.17419,                   1.47,                 3.1009,                 1.4133,                  2e-05,                  2e-05,                  2e-05
                      2,                  1.472,                  3.085,                 1.4055,                0.00533,                 0.9697,                0.61576,                0.36941,                 1.4484,                 3.0804,                 1.3809,              5.406e-05,              5.406e-05,              5.406e-05
                      3,                 1.3528,                 2.8896,                 1.3048,                0.00533,                 0.9697,                0.75746,                0.44944,                 1.4335,                 3.0722,                 1.3676,               8.02e-05,               8.02e-05,               8.02e-05
                      4,                 1.1809,                 2.3823,                 1.1846,                0.00533,                 0.9697,                0.80074,                0.48124,                 1.3751,                 3.0537,                 1.3374,              9.842e-05,              9.842e-05,              9.842e-05
                      5,                 1.3093,                  2.264,                 1.3168,                0.00533,                 0.9697,                0.82296,                0.49249,                 1.3921,                 2.9253,                 1.3555,             0.00010872,             0.00010872,             0.00010872
                      6,                 1.1331,                 1.7735,                 1.2575,                0.00533,                 0.9697,                0.83916,                0.48775,                 1.4133,                 2.8236,                 1.3737,              0.0001111,              0.0001111,              0.0001111
                      7,                 1.1182,                 1.6278,                 1.1833,                      1,                0.50906,                0.83937,                 0.5042,                 1.4322,                 2.7533,                 1.3873,             0.00010556,             0.00010556,             0.00010556
                      8,                 1.0993,                 1.5452,                 1.1246,                      1,                0.45596,                0.83179,                0.50861,                 1.3997,                 2.7191,                 1.3526,               9.21e-05,               9.21e-05,               9.21e-05
                      9,                 1.1737,                 1.4959,                 1.1521,                      1,                0.47531,                0.82953,                0.50784,                 1.3936,                 2.7139,                 1.3478,              7.072e-05,              7.072e-05,              7.072e-05
                     10,                 1.1057,                 1.5258,                 1.1906,                      1,                0.41888,                 0.8288,                0.51244,                 1.3881,                 2.6951,                 1.3446,              4.142e-05,              4.142e-05,              4.142e-05
